ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
433,BMW,2,6,London,1,2926,2002,2170,259,0.087,0.637,,,0.87871875
666,FORD,1,14,North West,1,1999,2002,1421,219,0.12,0.05,,0.07,0.894666516
1000,FORD,1,13,North West,2,1242,2002,989,161,0.296,0.061,,0.054,0.277374263
2368,BMW,2,2,London,5,1995,2016,1505,104,0.148,0.03,,,0.356675264
2770,BMW,1,6,North West,1,1499,2016,1520,127,0.329,0.018,,0.055,0.869167734
3093,VAUXHALL,2,6,South West,5,1598,2016,1393,89,0.268,0.047,,,0.942781248
2267,FORD,1,5,London,5,4951,2016,1810,281,0.225,0.018,,0.029,0.160825674
3569,VOLKSWAGEN,1,14,South West,1,1395,2016,1316,113,0.242,0.033,,0.048,0.174071896
1452,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.418787104
1119,FORD,1,14,South West,2,1796,2002,1195,181,0.895,0.043,,0.091,0.201597322
147,VOLKSWAGEN,1,13,North West,4,1596,2002,1280,180,0.53,0.031,,0.055,0.679638262
2247,BMW,2,14,London,1,1995,2016,1465,114,0.101,0.019,,,0.467178788
3339,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.481275963
231,FORD,1,6,South West,1,2495,2002,1518,240,0.174,0.019,,0.059,0.802592417
1449,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.982245655
2759,TOYOTA,8,14,South West,1,1798,2016,1470,70,0.131,0.016,,0.033,0.448316542
1990,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.355341444
3529,VAUXHALL,2,6,South West,5,1598,2016,1664,104,0.056,0.054,,,0.532375448
1408,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.724923687
2481,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.354878026
1667,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.742612152
1512,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.758445498
926,FORD,1,14,South West,1,1798,2002,1396,187,0.375,0.091,,0.077,0.42069227
2850,FORD,2,96,London,5,1499,2016,1661,119,0.353,0.076,0.001,,0.534620384
1619,BMW,2,13,South West,5,1496,2016,1395,106,0.172,0.028,,,0.447460216
1078,VAUXHALL,1,14,South West,2,1199,2002,1430,154,0.253,0.029,,0.054,0.934772952
1668,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.812147216
235,TOYOTA,1,14,South West,1,998,2002,975,137,0.43,0.03,,,0.150115994
2425,VAUXHALL,1,13,London,2,1229,2016,1086,125,0.474,0.013,,0.038,0.974817214
1378,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.862432306
830,FORD,1,13,North West,2,1242,2002,989,161,0.296,0.061,,0.054,0.619986672
2859,FORD,1,96,North West,1,998,2016,1332,114,0.385,0.044,0.002,0.058,0.115855467
2715,BMW,2,2,South West,5,1995,2016,1495,109,0.312,0.042,,,0.382787842
502,VOLKSWAGEN,1,14,South West,2,1390,2002,1194,156,0.165,0.047,,0.075,0.6369383
668,VAUXHALL,1,14,North West,2,1598,2002,1680,197,0.357,0.029,,0.044,0.9758831
944,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.111086072
1296,VOLKSWAGEN,2,14,South West,1,1896,2002,1404,146,0.177,0.363,0.024,,0.861018609
2398,FORD,1,14,London,5,998,2016,1364,125,0.428,0.037,0.001,0.053,0.213598
95,VOLKSWAGEN,2,14,North West,1,1896,2002,1379,138,0.073,0.33,0.025,,0.119444988
1594,VOLKSWAGEN,1,14,North West,5,1395,2016,1280,112,0.252,0.04,,0.055,0.604387425
1435,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.352493184
134,VOLKSWAGEN,2,14,South West,1,1896,2002,1393,140,0.081,0.376,0.029,,0.52685881
3198,BMW,2,2,North West,1,1995,2016,1505,116,0.274,0.032,,,0.5288938
1551,BMW,8,6,North West,5,1997,2016,2305,78,0.185,0.015,,0.014,0.734721456
45,VAUXHALL,1,13,South West,2,973,2002,1405,135,0.342,0.048,,0.06,0.192171061
2792,VAUXHALL,1,13,North West,2,1229,2016,1086,125,0.474,0.013,,0.038,0.095911685
3593,BMW,2,2,South West,1,2993,2016,1900,137,0.24,0.026,,,0.866849477
1858,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.979018962
3775,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.340732019
1127,VOLKSWAGEN,1,13,South West,2,1781,2002,1372,194,0.646,0.017,,0.047,0.078352801
2542,BMW,2,13,London,2,1496,2016,1425,103,0.086,0.025,,,0.897834606
731,TOYOTA,1,13,North West,1,998,2002,1040,137,0.43,0.03,,0.12,0.58943792
2727,FORD,1,14,North West,5,1596,2016,1144,138,0.314,0.017,,0.037,0.417336969
3584,BMW,1,2,South West,1,1997,2016,1700,142,0.316,0.042,,0.044,0.775714551
1888,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.450473135
2056,TOYOTA,1,14,South West,5,998,2016,950,95,0.59,0.008,,0.033,0.945992462
2900,FORD,1,14,North West,1,1498,2016,1756,171,0.559,0.04,0.004,0.045,0.590600854
1022,VOLKSWAGEN,2,14,North West,1,1896,2002,1203,130,0.236,0.363,0.011,,0.938600078
449,FORD,1,14,South West,1,1596,2002,1189,192,0.518,0.059,,0.115,0.925013452
1066,VOLKSWAGEN,1,14,South West,4,1598,2002,1304,168,0.259,0.043,,0.056,0.937527188
2552,TOYOTA,8,14,London,1,1798,2016,1460,92,0.258,0.005,,0.058,0.897859634
3714,FORD,1,14,South West,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.115206757
1064,VOLKSWAGEN,2,2,South West,1,1896,2002,1533,154,0.181,0.313,0.04,,0.855685591
3441,VAUXHALL,2,14,North West,2,1598,2016,1462,134,0.058,0.054,,,0.758492558
1563,FORD,2,14,North West,5,1499,2016,1399,98,0.354,0.074,,,0.598193092
2647,TOYOTA,1,6,London,4,1987,2016,1640,152,0.308,0.023,,0.041,0.97326223
2982,FORD,1,14,North West,5,999,2016,1333,108,0.447,0.03,0.002,0.076,0.315819223
1662,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.682597475
989,VAUXHALL,1,14,South West,2,1199,2002,1445,154,0.211,0.031,,0.052,0.501556985
738,VAUXHALL,1,13,London,1,1199,2002,1430,154,0.211,0.031,,0.052,0.67905367
1088,FORD,1,14,South West,2,1388,2002,1097,153,0.562,0.026,,0.08,0.143807156
83,BMW,1,4,London,1,1995,2002,1570,203,0.811,0.053,,0.12,0.616303585
2569,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.538347109
2363,FORD,1,14,London,2,1242,2016,1095,122,0.518,0.027,,0.051,0.286328597
3670,VOLKSWAGEN,1,14,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.009055007
3466,FORD,2,14,South West,2,1499,2016,1398,115,0.463,0.039,,,0.589100192
2120,BMW,2,2,South West,5,1995,2016,1705,119,0.144,0.031,,,0.362822188
1919,TOYOTA,8,14,South West,5,1497,2016,1186,75,0.196,0.006,,0.043,0.357917224
916,FORD,1,13,South West,2,1299,2002,965,154,0.395,0.103,,0.061,0.874768576
2823,VAUXHALL,1,14,North West,2,1364,2016,1394,145,0.593,0.011,,0.03,0.861652046
2450,TOYOTA,8,14,North West,5,1798,2016,1470,91,0.182,0.005,,0.036,0.287732871
370,FORD,1,13,London,2,1988,2002,1213,204,0.679,0.145,,0.055,0.603202191
3421,BMW,2,2,South West,5,1995,2016,1495,109,0.312,0.042,,,0.456064863
3146,VOLKSWAGEN,1,14,North West,1,1984,2016,1505,159,0.609,0.047,,0.06,0.11187102
1083,VAUXHALL,1,14,South West,2,1199,2002,1455,154,0.211,0.031,,0.052,0.008443706
2790,BMW,2,14,North West,5,1496,2016,1440,104,0.098,0.053,,,0.820908308
1588,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.752458757
2201,VAUXHALL,2,14,South West,5,1598,2016,1613,109,0.035,0.026,,,0.550590785
1564,BMW,1,5,South West,1,4395,2016,1950,231,0.523,0.014,,0.043,0.967062652
3624,VOLKSWAGEN,1,14,South West,1,999,2016,929,105,0.457,0.013,,0.039,0.321939519
796,VOLKSWAGEN,2,14,South West,4,1422,2002,1251,122,0.075,0.386,0.025,,0.204617366
1495,BMW,2,6,North West,1,2993,2016,2145,158,0.186,0.057,,,0.388661655
3057,FORD,1,14,North West,5,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.627910628
1827,VAUXHALL,1,14,North West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.066444737
879,TOYOTA,1,3,London,2,1497,2002,0,164,1.007,,,,0.889187291
1678,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.8843303
452,BMW,1,2,South West,1,1796,2002,1385,172,0.76,0.059,,0.103,0.37423614
3812,FORD,1,13,South West,2,1242,2016,1088,122,0.518,0.027,,0.051,0.248480874
658,FORD,1,13,North West,1,1679,2002,1113,178,0.656,0.083,,0.066,0.024432852
3448,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.267317947
1640,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.328932575
3474,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.640383683
3426,BMW,2,6,South West,1,2993,2016,2185,159,0.161,0.057,,,0.992465273
164,TOYOTA,2,14,South West,1,1998,2002,1490,158,0.33,0.49,0.044,,0.90511687
567,VOLKSWAGEN,1,13,London,4,1390,2002,1143,154,0.165,0.047,,0.075,0.380520236
8,VAUXHALL,1,96,London,1,1796,2002,2000,219,0.486,0.013,,0.037,0.233788097
2691,FORD,2,96,London,5,1499,2016,1533,109,0.338,0.07,,,0.741500461
2799,VAUXHALL,1,14,North West,5,1364,2016,1409,149,0.699,0.008,,0.044,0.47127817
1831,VAUXHALL,1,13,North West,1,1364,2016,1437,142,0.58,0.014,,0.034,0.049333745
350,FORD,1,14,South West,1,1988,2002,1242,207,0.679,0.145,,0.055,0.879282718
1875,VAUXHALL,1,14,South West,5,999,2016,1199,100,0.3,0.037,0.001,0.033,0.576000694
917,FORD,1,13,London,2,1299,2002,965,154,0.395,0.103,,0.061,0.031891033
2416,VOLKSWAGEN,2,14,London,1,1968,2016,1394,119,0.079,0.063,,,0.755059211
1969,FORD,1,14,London,1,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.614557376
1516,VOLKSWAGEN,1,13,South West,4,1984,2016,1495,159,0.609,0.047,,0.06,0.912738752
524,BMW,1,4,North West,1,1995,2002,0,187,0.852,,,,0.350130338
2642,VAUXHALL,1,14,London,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.995416996
2116,VAUXHALL,1,13,London,1,1398,2016,1141,118,0.463,0.01,,0.031,0.708050695
3324,BMW,1,14,North West,1,1998,2016,1505,130,0.403,0.018,,0.065,0.509797524
661,FORD,1,13,North West,1,1596,2002,1154,165,0.518,0.059,,0.115,0.213345189
3533,VOLKSWAGEN,1,14,South West,1,999,2016,1055,108,0.535,0.012,,0.039,0.370248558
2211,FORD,2,14,South West,2,1499,2016,1170,94,0.262,0.047,,,0.35185037
3790,FORD,2,13,South West,5,1499,2016,1159,94,0.351,0.051,,,0.258842298
846,VOLKSWAGEN,1,14,North West,2,1390,2002,1338,163,0.121,0.04,,0.074,0.32497119
3515,VAUXHALL,2,14,South West,5,1598,2016,1335,88,0.268,0.047,,,0.636713554
1870,VAUXHALL,2,14,South West,5,1248,2016,1237,100,0.141,0.063,,,0.7040056
3229,VAUXHALL,1,14,North West,5,1398,2016,1199,137,0.645,0.008,,0.044,0.711346606
2315,VAUXHALL,1,14,London,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.395315923
1511,FORD,1,14,South West,1,2261,2016,1583,175,0.239,0.046,0.001,0.048,0.762993715
2981,VAUXHALL,1,14,North West,2,1364,2016,1237,122,0.276,0.013,,0.019,0.222106826
866,VOLKSWAGEN,2,14,South West,1,1896,2002,0,146,0.081,0.376,0.029,,0.900190158
1160,BMW,1,13,South West,4,2494,2002,1480,215,0.494,0.017,,0.079,0.618688123
3784,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.062105145
2589,FORD,2,6,London,5,1997,2016,1661,115,0.177,0.042,,,0.653357465
1788,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.237682169
1722,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.201710866
3282,VAUXHALL,1,14,North West,5,1364,2016,1445,155,0.639,0.016,,0.03,0.023483065
1922,VOLKSWAGEN,1,14,London,2,1395,2016,1247,120,0.158,0.034,,0.028,0.42928918
2320,FORD,2,14,North West,5,1997,2016,1788,134,0.351,0.065,0.002,,0.272637946
3140,TOYOTA,1,14,North West,2,998,2016,950,95,0.59,0.008,,0.033,0.051190467
2106,VAUXHALL,2,14,North West,2,1598,2016,1350,103,0.17,0.032,0.001,,0.692786036
3655,VAUXHALL,2,14,South West,5,1598,2016,1613,99,0.056,0.054,,,0.7618038
116,VAUXHALL,1,14,South West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.666981345
491,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.775092247
2984,BMW,2,6,North West,5,1995,2016,1605,119,0.128,0.023,,,0.96567399
3399,BMW,2,14,London,1,1995,2016,1425,114,0.248,0.028,,,0.246510599
520,VOLKSWAGEN,2,14,London,1,1896,2002,1396,146,0.081,0.376,0.029,,0.824748737
3385,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.171836125
1095,FORD,2,14,South West,1,1399,2002,1166,121,0.154,0.423,0.036,,0.91673432
2886,BMW,1,2,North West,1,1998,2016,1505,138,0.213,0.022,,0.053,0.508392054
1836,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.464905544
3821,VAUXHALL,1,13,South West,5,1398,2016,1141,118,0.463,0.01,,0.031,0.424379103
2988,BMW,1,14,North West,1,1499,2016,1380,116,0.164,0.016,,0.041,0.515621746
856,TOYOTA,1,5,London,1,1796,2002,0,200,,,,,0.692700796
151,TOYOTA,1,13,North West,2,998,2002,1040,137,0.43,0.03,,0.12,0.73596968
787,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.435018321
2198,VOLKSWAGEN,2,14,South West,5,1968,2016,1429,127,0.067,0.07,,,0.149513174
388,FORD,2,6,South West,1,1753,2002,1310,145,0.347,0.489,0.044,0.042,0.829138674
3265,FORD,1,14,North West,4,998,2016,1168,114,0.206,0.034,,0.05,0.216030632
78,FORD,1,6,London,1,1596,2002,1227,200,0.518,0.059,,0.115,0.069735578
21,FORD,2,14,South West,5,1399,2002,1145,117,0.154,0.423,0.036,,0.735418432
3622,FORD,1,14,South West,5,998,2016,1364,125,0.428,0.037,0.001,0.053,0.447866362
2034,FORD,2,14,South West,5,1499,2016,1170,94,0.351,0.051,,,0.928385767
3217,BMW,1,14,North West,2,1997,2016,1450,151,0.25,0.027,,0.029,0.840230594
3021,BMW,1,5,North West,2,1499,2016,1435,129,0.215,0.01,,0.037,0.411114702
3335,TOYOTA,1,14,South West,2,1329,2016,1133,119,0.311,0.008,,0.041,0.702685184
473,VOLKSWAGEN,1,2,London,4,1984,2002,1460,202,0.337,0.016,,0.023,0.334242356
781,FORD,2,6,London,1,1998,2002,0,159,0.204,0.443,0.026,,0.164113631
2842,FORD,1,14,North West,2,1242,2016,1095,122,0.518,0.027,,0.051,0.756729506
2670,FORD,1,14,London,1,1242,2016,1095,122,0.518,0.027,,0.051,0.734511448
1284,FORD,1,14,South West,1,1999,2002,1396,192,0.284,0.08,,0.056,0.057812335
850,FORD,1,3,London,2,1388,2002,0,158,0.662,,,,0.386333112
215,TOYOTA,1,14,London,2,1398,2002,1280,159,0.47,0.02,,0.07,0.920063625
923,FORD,1,14,London,1,1798,2002,1396,187,0.375,0.091,,0.077,0.643668151
1471,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.359649902
458,FORD,1,14,South West,1,1596,2002,1189,192,0.518,0.059,,0.115,0.112107643
61,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.628844324
3718,VOLKSWAGEN,2,96,South West,5,1598,2016,1604,111,0.147,0.045,,,0.158652796
3707,BMW,1,6,South West,5,1998,2016,1595,134,0.151,0.025,,0.04,0.192654377
3794,BMW,2,6,London,1,2993,2016,2185,159,0.161,0.057,,,0.258885978
2603,BMW,1,5,London,1,1998,2016,1615,134,0.151,0.025,,0.04,0.886963933
918,BMW,1,13,London,1,1995,2002,1375,175,0.264,0.032,,0.032,0.299497945
395,FORD,1,6,South West,1,1796,2002,1238,184,0.895,0.043,,0.091,0.89388116
3052,FORD,1,14,North West,2,998,2016,1364,125,0.428,0.037,0.001,0.053,0.451736058
1683,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.70325661
1091,VOLKSWAGEN,2,14,South West,2,1896,2002,1379,138,0.073,0.33,0.025,,0.019567312
1154,FORD,1,14,London,2,1388,2002,1097,158,0.562,0.026,,0.08,0.869826638
3675,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.484,0.021,0.002,0.036,0.288623786
309,FORD,2,14,North West,1,1998,2002,1506,156,0.204,0.443,0.026,,0.840049539
530,FORD,1,13,London,1,1596,2002,1154,165,0.518,0.059,,0.115,0.616278583
1460,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.934646304
595,FORD,1,6,London,1,1596,2002,1180,163,0.518,0.059,,0.115,0.897293344
2657,VOLKSWAGEN,1,96,London,2,1395,2016,1362,125,0.158,0.034,,0.028,0.107430422
377,VAUXHALL,1,13,South West,1,1199,2002,1455,154,0.211,0.031,,0.052,0.358900893
2446,VOLKSWAGEN,1,96,London,1,1395,2016,1505,127,0.213,0.029,,0.042,0.159609333
302,VOLKSWAGEN,2,6,South West,2,1896,2002,1832,173,0.463,0.387,0.035,,0.656361379
3506,FORD,1,14,South West,5,1498,2016,1421,140,0.506,0.027,0.004,0.069,0.154966642
1418,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.307725392
1818,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.440592336
2433,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.72870947
1945,VAUXHALL,1,14,London,1,1364,2016,1394,145,0.593,0.011,,0.03,0.231237546
2856,VAUXHALL,1,96,North West,5,1364,2016,1393,139,0.461,0.013,,0.031,0.341435352
873,VOLKSWAGEN,1,3,London,2,1390,2002,0,161,0.172,,,,0.325751075
647,FORD,1,14,North West,4,1596,2002,1167,165,0.518,0.059,,0.115,0.430138596
2801,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.816752171
88,VOLKSWAGEN,2,6,South West,4,1896,2002,1480,146,0.081,0.376,0.029,,0.476720534
3646,BMW,1,4,South West,2,1997,2016,1470,159,0.309,0.024,,0.027,0.332114384
2914,VOLKSWAGEN,1,14,North West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.920750871
406,FORD,1,14,South West,1,1596,2002,1152,165,0.518,0.059,,0.115,0.213590715
1754,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.952783538
178,TOYOTA,1,6,South West,1,1998,2002,1460,211,0.61,0.04,,0.07,0.075907727
2940,VAUXHALL,1,14,North West,1,1598,2016,1355,159,0.809,0.012,,0.051,0.967561392
3263,FORD,1,14,North West,1,998,2016,1177,99,0.355,0.041,0.001,0.067,0.106375274
3409,VOLKSWAGEN,2,14,South West,5,1968,2016,1395,114,0.133,0.067,,,0.528801123
2964,VOLKSWAGEN,1,14,South West,5,1984,2016,1392,145,0.362,0.029,,0.053,0.709762238
1513,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.36442364
962,FORD,1,14,South West,1,1796,2002,1204,181,0.895,0.043,,0.091,0.218416585
537,BMW,1,4,London,1,1995,2002,1570,203,0.811,0.053,,0.12,0.148314426
2941,BMW,2,5,South West,5,1995,2016,1615,114,0.128,0.023,,,0.355000601
3468,FORD,1,14,South West,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.838378825
3340,TOYOTA,8,6,South West,1,2494,2016,1810,118,0.267,0.009,,0.049,0.679884251
1727,VAUXHALL,1,14,North West,1,1364,2016,1394,145,0.593,0.011,,0.03,0.68844445
2521,FORD,2,14,South West,5,1499,2016,1399,99,0.354,0.074,,,0.513754494
3208,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.780455517
214,FORD,1,14,London,2,1988,2002,1314,218,0.148,0.061,,0.051,0.775559424
1955,VAUXHALL,1,13,London,1,1229,2016,1086,125,0.474,0.013,,0.038,0.882928159
2785,VAUXHALL,1,14,North West,1,1398,2016,1163,118,0.463,0.01,,0.031,0.015060407
5,VOLKSWAGEN,2,2,London,1,1896,2002,1533,154,0.181,0.313,0.04,,0.881624075
1308,VAUXHALL,2,96,London,2,1956,2016,1788,161,0.057,0.053,,,0.88670499
2129,VOLKSWAGEN,1,14,North West,1,1395,2016,1316,113,0.242,0.033,,0.048,0.759585234
2875,FORD,2,14,North West,5,1499,2016,1399,99,0.354,0.074,,,0.400286042
831,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.345245707
3723,FORD,1,14,South West,1,999,2016,1333,108,0.447,0.03,0.002,0.076,0.55861382
3517,VOLKSWAGEN,2,96,South West,5,1968,2016,1554,136,0.136,0.036,,,0.911719848
1609,VAUXHALL,1,14,London,2,1398,2016,1163,118,0.463,0.01,,0.031,0.546595086
2786,BMW,1,5,North West,1,1998,2016,1615,134,0.151,0.025,,0.04,0.012879586
411,VOLKSWAGEN,1,14,South West,4,1198,2002,1143,142,0.68,0.042,,0.03,0.26685396
770,BMW,1,4,South West,1,2494,2002,0,239,0.255,,,,0.99338392
1466,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.204246846
3392,FORD,2,14,North West,1,1499,2016,1399,98,0.354,0.074,,,0.032119963
1571,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.859053507
2253,BMW,2,5,South West,5,1995,2016,1615,106,0.128,0.023,,,0.35826756
115,VOLKSWAGEN,1,13,London,1,1200,2002,1092,142,0.474,0.015,,0.032,0.395479968
750,FORD,2,6,North West,2,1753,2002,1295,143,0.109,0.489,0.044,0.018,0.523921438
934,TOYOTA,1,14,South West,2,1598,2002,1290,168,0.55,0.03,,0.06,0.871793677
3432,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.407509051
3725,VAUXHALL,1,14,South West,1,1398,2016,1163,120,0.463,0.01,,0.031,0.905040308
1104,FORD,1,13,South West,2,1596,2002,1184,192,0.518,0.059,,0.115,0.971192042
2804,BMW,2,2,North West,5,1995,2016,1705,109,0.144,0.031,,,0.035951623
3064,VOLKSWAGEN,1,6,North West,5,1395,2016,1368,118,0.304,0.031,,0.058,0.455787151
1336,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.462964767
977,VAUXHALL,1,13,South West,2,1199,2002,1455,154,0.211,0.031,,0.052,0.083950523
719,FORD,1,14,North West,1,2967,2002,1506,245,0.236,0.053,,0.035,0.995754907
1770,FORD,2,96,North West,1,1997,2016,1828,129,0.239,0.048,,,0.968967565
1842,VAUXHALL,2,14,London,5,1598,2016,1350,103,0.17,0.032,0.001,,0.262389432
263,VAUXHALL,1,14,South West,2,1199,2002,1430,154,0.211,0.031,,0.052,0.274267696
2613,BMW,2,6,South West,5,2993,2016,2145,158,0.186,0.057,,,0.507773362
3601,BMW,2,2,South West,1,1995,2016,1705,109,0.144,0.031,,,0.704537262
2044,VAUXHALL,2,14,North West,1,1956,2016,1613,118,0.08,0.06,,,0.107352947
2718,BMW,2,2,South West,5,1995,2016,1495,109,0.312,0.042,,,0.703362527
2099,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.25632788
2574,BMW,2,6,London,5,1995,2016,1505,109,0.222,0.037,,,0.108749753
3791,FORD,2,14,South West,5,1997,2016,1681,122,0.215,0.057,,,0.086959615
2815,BMW,2,2,North West,1,2993,2016,1705,145,0.341,0.053,,,0.798038594
1617,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.814923352
3164,BMW,2,2,North West,1,1995,2016,1695,114,0.314,0.048,,,0.373526065
1526,FORD,2,14,London,5,1499,2016,1399,98,0.354,0.074,,,0.07105585
3660,VAUXHALL,1,13,South West,5,1598,2016,1278,174,0.519,0.026,,0.034,0.765581009
3640,VAUXHALL,2,14,South West,5,1598,2016,1613,99,0.056,0.054,,,0.770982381
758,VOLKSWAGEN,1,13,London,2,1390,2002,1189,180,0.096,0.064,,0.092,0.315444933
54,BMW,1,4,London,1,3246,2002,1730,292,0.779,0.031,,0.125,0.62563603
3038,BMW,2,6,South West,5,1995,2016,1575,115,0.269,0.044,,,0.632348485
2983,FORD,1,13,North West,1,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.067371061
2915,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.875220352
25,TOYOTA,1,14,North West,1,1299,2002,0,144,0.88,0.04,,0.1,0.235536841
2226,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.286506824
2898,FORD,1,13,North West,1,998,2016,1094,99,0.445,0.012,0.001,0.065,0.274295725
550,VAUXHALL,1,13,London,2,1389,2002,1545,190,0.287,0.057,,0.065,0.339135285
1089,VOLKSWAGEN,1,13,South West,1,1390,2002,1012,149,0.294,0.03,,0.067,0.56348928
1855,VAUXHALL,2,96,South West,5,1598,2016,1923,145,0.316,0.041,,,0.583589631
3240,VAUXHALL,1,14,North West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.397637787
901,BMW,2,2,South West,1,2497,2002,1680,216,0.173,0.433,0.046,,0.427348608
3380,VAUXHALL,2,14,North West,1,1598,2016,1613,109,0.035,0.026,,,0.189527836
3758,FORD,2,14,North West,1,1997,2016,1524,110,0.243,0.067,,,0.99829475
2361,BMW,2,6,South West,5,1995,2016,1795,122,0.332,0.054,,,0.740279259
2682,BMW,1,5,London,1,1998,2016,1550,141,0.213,0.022,,0.053,0.27210902
2620,BMW,2,14,London,2,1496,2016,1470,103,0.091,0.063,,,0.133642888
1391,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.40691105
585,VAUXHALL,1,13,London,2,1199,2002,1430,154,0.211,0.031,,0.052,0.510160751
2863,FORD,1,14,North West,1,999,2016,1382,125,0.451,0.036,0.001,0.072,0.548811923
3690,BMW,8,2,South West,5,1998,2016,1735,49,0.082,0.006,,0.017,0.764840528
1161,VOLKSWAGEN,1,14,South West,1,1390,2002,1190,161,0.308,0.042,,0.064,0.470709515
1780,VAUXHALL,2,96,South West,1,1598,2016,1923,145,0.316,0.041,,,0.460378332
2635,FORD,1,14,London,5,1596,2016,1144,138,0.314,0.017,,0.037,0.341762055
